Source,Target,BLEU,"Data Size (parallel sentences, K)"
jpn,slk,1.2,48
jpn,slv,1.8,50
jpn,srp,0.5,51
jpn,swe,2.6,96
jpn,tur,1.9,84
jpn,ukr,2.2,92
jpn,vie,5.9,75
kor,ara,0.9,48
kor,bul,1.7,38
kor,ces,1.3,53
kor,dan,2,37
kor,deu,1.7,82
kor,ell,1.7,35
kor,eng,8.7,306
kor,epo,1.3,26
kor,spa,4.7,108
kor,fra,4.4,89
kor,fr-ca,3.4,
kor,glg,1.5,28
kor,heb,0.9,43
kor,hrv,0.7,27
kor,hun,1.5,49
kor,ind,3.1,45
kor,ita,3.2,83
kor,jpn,9.2,222
kor,mkd,1.2,26
kor,nob,1.3,
kor,nld,1.9,56
kor,pol,1.4,63
kor,por,4.3,93
kor,pt-br,4.6,
kor,ron,2,47
kor,rus,2.1,89
kor,slk,1,25
kor,slv,1.5,26
kor,srp,0.4,29
kor,swe,1.5,51
kor,tur,1.4,47
kor,ukr,1.5,48
kor,vie,4.3,49
lit,eng,13.7,
mkd,ara,2.4,52
mkd,bul,18.2,86
mkd,bos,12,39
mkd,ces,5.4,51
mkd,dan,7.2,39
mkd,deu,4.3,64
mkd,ell,10.3,52
mkd,eng,23.4,395
mkd,epo,8.9,30
mkd,spa,15.2,92
mkd,fra,11.5,83
mkd,fr-ca,10,
mkd,glg,5.4,35
mkd,heb,4,42
mkd,hrv,12.6,52
mkd,hun,3.7,47
mkd,ind,8.9,55
mkd,ita,11.1,73
mkd,jpn,3.5,48
mkd,kor,4.7,26
mkd,nob,7.5,
mkd,nld,6.7,53
mkd,pol,4.5,56
mkd,por,13.9,93
mkd,pt-br,15.6,
mkd,ron,8.3,56
mkd,rus,7.5,88
mkd,slk,3.5,29
mkd,slv,7.1,39
mkd,srp,3.7,106
mkd,swe,5.6,48
mkd,tur,2,43
mkd,ukr,6.4,57
mkd,vie,10.9,57
mkd,cmn,6.3,45
mkd,zh-tw,4.3,
mar,eng,2.6,124
nob,ara,2.7,
nob,bul,8.5,
nob,ces,5.4,
nob,dan,32.7,
nob,deu,9.8,
nob,ell,8.9,
nob,eng,35.1,
nob,epo,9.5,
nob,spa,17,
nob,fra,14.6,
nob,glg,8,
nob,heb,3.1,
nob,hrv,3.9,
nob,hun,4.5,
nob,ind,9.9,
nob,ita,15,
nob,jpn,5.5,
nob,kor,5.7,
nob,mkd,6.7,
nob,pol,4.7,
nob,por,14.2,
nob,ron,9.5,
nob,rus,7.5,
nob,slk,3.2,
nob,slv,3.9,
nob,srp,0.6,
nob,swe,26.3,
nob,tur,1.9,
nob,ukr,6.2,
nob,vie,7.8,
nld,ara,2.4,73
nld,bul,8.2,84
nld,bos,2.9,45
nld,ces,5.9,139
nld,dan,14.2,110
nld,deu,16.1,472
nld,ell,8.4,76
nld,eng,26.5,796
nld,epo,13.4,81
nld,spa,16.8,272
nld,fra,16.7,331
nld,fr-ca,13.5,
nld,glg,7.3,66
nld,heb,3.9,86
nld,hrv,4.8,65
nld,hun,5.3,121
nld,ind,11.4,101
nld,ita,13.3,240
nld,jpn,5.2,123
nld,kor,5.9,56
nld,mkd,5.9,53
nld,pol,5.3,177
nld,por,13.8,218
nld,pt-br,15.4,
nld,ron,7.8,96
nld,rus,7.6,199
nld,slk,4.1,66
nld,slv,5.1,64
nld,srp,1.6,61
nld,swe,11.1,151
nld,tur,3.2,90
nld,ukr,6.1,104
nld,vie,10.6,84
nld,cmn,8,88
nld,zh-tw,5.1,
pol,ara,1.8,74
pol,bul,7.4,96
pol,bos,2.9,48
pol,ces,8.2,176
pol,dan,6.6,89
pol,deu,6.5,285
pol,ell,5.4,77
pol,eng,15.1,668
pol,epo,7.5,77
pol,spa,11.4,235
pol,fra,11.3,255
pol,fr-ca,8.6,
pol,glg,5.2,65
pol,heb,2.3,84
pol,hrv,4.8,71
pol,hun,4,126
pol,ind,7.5,93
pol,ita,8.6,219
pol,jpn,4.2,128
pol,kor,5.7,63
pol,mkd,5.2,56
pol,nob,4.1,
pol,nld,6.2,177
pol,por,9.6,200
pol,pt-br,9.9,
pol,ron,6.2,97
pol,rus,9.5,285
pol,slk,6.2,81
pol,slv,5.3,68
pol,srp,1.5,69
pol,swe,5.6,121
pol,tur,2.4,92
pol,ukr,8.9,172
pol,vie,7.7,84
pol,cmn,6.3,92
pol,zh-tw,3.6,
por,ara,7.4,157
por,bul,15.2,114
por,bos,7,62
por,ces,8,153
por,dan,15.5,123
por,deu,13.2,294
por,ell,18.7,144
por,eng,35,2461
por,epo,12,91
por,spa,32.4,923
por,fra,26.7,558
por,fr-ca,19,
por,glg,23,227
por,heb,8.8,133
por,hrv,10.3,85
por,hun,8.4,148
por,ind,17.5,204
por,ita,24.4,480
por,jpn,7.8,175
por,kor,10.6,93
por,mkd,13.1,93
por,nob,14.3,
por,nld,14.9,218
por,pol,8.9,200
por,ron,15.3,177
por,rus,11.7,312
por,slk,6.6,71
por,slv,8.1,85
por,srp,2,101
por,swe,14.3,155
por,tur,6.2,140
por,ukr,9.3,156
por,vie,18,213
por,cmn,12.9,165
por,zh-tw,5.8,
pt-br,ara,6.5,
pt-br,bul,14.7,
pt-br,bos,7.4,
pt-br,ces,8.6,
pt-br,dan,16.8,
pt-br,deu,12.9,
pt-br,ell,17.6,
pt-br,eng,37.3,
pt-br,epo,16,
pt-br,spa,31,
pt-br,fra,26.6,
pt-br,fr-ca,20.3,
pt-br,glg,23,
pt-br,heb,8.7,
pt-br,hrv,9.8,
pt-br,hun,8.1,
pt-br,ind,18.6,
pt-br,ita,24.8,
pt-br,jpn,7.8,
pt-br,kor,10.7,
pt-br,mkd,12.5,
pt-br,nld,14.8,
pt-br,pol,8.5,
pt-br,ron,15.1,
pt-br,rus,11.8,
pt-br,slk,6.4,
pt-br,slv,8.9,
pt-br,srp,2.8,
