Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
uk,ilo,0.12,38,16,0.0,3549,10000,0.3549,1.0,0.7019,0.5458,0.0002,0.4148,0.4582
uk,id,0.28,10,44,0.0008,10000,10000,1.0,1.0,0.544,0.519,0.5687,0.40399999999999997,0.5131
uk,it,0.24,22,32,0.0003,10000,10000,1.0,0.9,0.4528,0.4215,0.0002,0.3926,0.0537
uk,jv,0.16,35,19,0.0013,9243,10000,0.9243,1.0,0.7984,0.6118,0.7223,0.4456,0.4894
uk,kk,0.34,3,51,0.0143,10000,10000,1.0,1.0,0.8318,0.8982,0.879,0.6737,0.1641
uk,rw,0.05,49,5,0.0,864,10000,0.0864,1.0,0.7736,0.5965,0.0002,0.4592,0.2775
uk,ky,0.32,5,49,0.0063,10000,10000,1.0,1.0,0.6925,0.6437,0.5456,0.539,0.1941
uk,ku,0.18,28,26,0.0004,4006,10000,0.4006,1.0,0.6648,0.7774,0.0002,0.6737,0.1109
uk,lo,0.03,53,1,0.0,521,10000,0.0521,1.0,0.5766,0.5172,0.0002,0.466,0.3978
uk,mr,0.29,7,47,0.0,10000,10000,1.0,0.8571,0.615,0.5666,0.0002,0.5248,0.2881
uk,mt,0.1,43,11,0.0001,1390,10000,0.139,1.0,0.9005,0.6048,0.0002,0.4147,0.0795
uk,my,0.04,51,3,0.0001,3282,10000,0.3282,1.0,0.7422,0.6308,0.5228,0.4682,0.3399
uk,ms,0.28,10,44,0.0005,10000,10000,1.0,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,nl,0.28,10,44,0.0003,10000,10000,1.0,0.9,0.4663,0.46299999999999997,0.0002,0.4527,0.0721
uk,ny,0.06,48,6,0.0,237,10000,0.0237,1.0,0.6399,0.7618,0.0002,0.6737,0.3524
uk,om,0.09,46,8,0.0,265,10000,0.0265,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,pa,0.27,15,39,0.0,7902,10000,0.7902,0.8571,0.518,0.5105,0.0002,0.5008,0.2376
