Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,fra,bel,0.374,30,24,0.0017113070107294447,0.012838801711840228,4509.0,192304.0,0.0234472501872036,0.32939465855533645,0.045360873894685384,39.208224455883325,0.9375,0.66,0.8,0.5456,0.6025,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,tur,0.3694,46,8,0.02412126280758239,0.04707190511489994,182470.0,192304.0,0.9488622181545886,0.13287653786615888,0.045360873894685384,3.722277597550816,1.0,0.68,0.6,0.2677,0.4955,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,aze,0.379,7,47,0.0047889126740670454,0.0309105580038483,5946.0,192304.0,0.030919793660038268,0.3250306645851918,0.045360873894685384,38.01266244839621,1.0,0.57,0.6,0.5456,0.6025,1.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,deu,0.3694,46,8,0.0427615523445215,0.05761393108558725,168112.0,192304.0,0.8741991846243448,0.07198867212083071,0.045360873894685384,0.34459398241108485,0.8571,0.46,0.4,0.2617,0.3886,0.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,bul,0.3717,42,12,0.009582477754962355,0.01689830404702137,174444.0,192304.0,0.9071262168233628,0.07766785448046865,0.045360873894685384,0.5072591805308732,0.8571,0.5,0.5,0.3333,0.4788,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,nob,0.3755,23,31,0.01811880523317374,0.050096100192200385,15825.0,192304.0,0.08229157999833597,0.138628018572844,0.045360873894685384,4.227606305016992,1.0,0.51,0.5,0.3862,0.5505,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,kat,0.3796,3,51,0.0021422302004869605,0.012500773562720464,13193.0,192304.0,0.06860491721441052,0.2909344954921987,0.045360873894685384,29.30897324382195,1.0,0.58,0.6,0.4270000000000001,0.5985,0.2,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,dan,0.3743,27,27,0.034988021374563576,0.06352839292341952,44940.0,192304.0,0.2336924868957484,0.09555254992441722,0.045360873894685384,1.224335862155778,0.9375,0.49,0.7,0.5456,0.6025,0.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,hye,0.366,52,2,0.0029453637360842065,0.015908387496131233,21360.0,192304.0,0.11107413262334637,0.18535942978485245,0.045360873894685384,9.52542333831153,0.9375,0.65,0.6,0.4407,0.5006,0.2,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,cmn,0.3657,53,1,0.003280453754366635,0.01476440394486418,199855.0,192304.0,1.039265953906315,0.9499830149626328,0.045360873894685384,397.7146608716309,1.0,0.65,0.6,0.4270000000000001,0.5726,0.4,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
